GEOHASH,LAT1,LONG1,LAT2,LONG2,LAT3,LONG3,LAT4,LONG4,COUNT
djn,28.125,-80.15625,28.125,-81.5625,29.53125,-80.15625,29.53125,-81.5625,337
dhy,26.71875,-80.15625,26.71875,-81.5625,28.125,-80.15625,28.125,-81.5625,121
djz,32.34375,-78.75,32.34375,-80.15625,33.75,-78.75,33.75,-80.15625,69
8e8,19.6875,-156.09375,19.6875,-157.5,21.09375,-156.09375,21.09375,-157.5,65
dhz,26.71875,-78.75,26.71875,-80.15625,28.125,-78.75,28.125,-80.15625,58
87z,21.09375,-157.5,21.09375,-158.90625,22.5,-157.5,22.5,-158.90625,58
djq,29.53125,-80.15625,29.53125,-81.5625,30.9375,-80.15625,30.9375,-81.5625,52
dhx,25.3125,-78.75,25.3125,-80.15625,26.71875,-78.75,26.71875,-80.15625,49
dq0,33.75,-77.34375,33.75,-78.75,35.15625,-77.34375,35.15625,-78.75,47
dhv,26.71875,-81.5625,26.71875,-82.96875,28.125,-81.5625,28.125,-82.96875,39
87y,21.09375,-158.90625,21.09375,-160.3125,22.5,-158.90625,22.5,-160.3125,32
9mu,32.34375,-116.71875,32.34375,-118.125,33.75,-116.71875,33.75,-118.125,30
9q9,36.5625,-120.9375,36.5625,-122.34375,37.96875,-120.9375,37.96875,-122.34375,25
djw,30.9375,-80.15625,30.9375,-81.5625,32.34375,-80.15625,32.34375,-81.5625,24
9qb,37.96875,-122.34375,37.96875,-123.75,39.375,-122.34375,39.375,-123.75,23
9q8,36.5625,-122.34375,36.5625,-123.75,37.96875,-122.34375,37.96875,-123.75,22
dj6,29.53125,-85.78125,29.53125,-87.1875,30.9375,-85.78125,30.9375,-87.1875,20
dq1,33.75,-75.9375,33.75,-77.34375,35.15625,-75.9375,35.15625,-77.34375,20
9q4,33.75,-119.53125,33.75,-120.9375,35.15625,-119.53125,35.15625,-120.9375,19
dr5,39.375,-73.125,39.375,-74.53125,40.78125,-73.125,40.78125,-74.53125,19
dhw,25.3125,-80.15625,25.3125,-81.5625,26.71875,-80.15625,26.71875,-81.5625,18
dhm,23.90625,-81.5625,23.90625,-82.96875,25.3125,-81.5625,25.3125,-82.96875,18
8e9,19.6875,-154.6875,19.6875,-156.09375,21.09375,-154.6875,21.09375,-156.09375,17
9vh,28.125,-94.21875,28.125,-95.625,29.53125,-94.21875,29.53125,-95.625,17
9q5,33.75,-118.125,33.75,-119.53125,35.15625,-118.125,35.15625,-119.53125,14
