GEOHASH,LAT1,LONG1,LAT2,LONG2,LAT3,LONG3,LAT4,LONG4,COUNT
dnvf77,38.3807373047,-81.7602539062,38.3807373047,-81.7712402344,38.3862304688,-81.7602539062,38.3862304688,-81.7712402344,3
dnwm65,37.5018310547,-81.1120605469,37.5018310547,-81.123046875,37.5073242188,-81.1120605469,37.5073242188,-81.123046875,3
dnvg0q,38.5290527344,-81.8920898438,38.5290527344,-81.9030761719,38.5345458984,-81.8920898438,38.5345458984,-81.9030761719,3
dnyze3,39.2926025391,-80.3540039062,39.2926025391,-80.3649902344,39.2980957031,-80.3540039062,39.2980957031,-80.3649902344,3
dnv6ec,38.4136962891,-82.44140625,38.4136962891,-82.4523925781,38.4191894531,-82.44140625,38.4191894531,-82.4523925781,3
dnty8y,37.7380371094,-81.8701171875,37.7380371094,-81.8811035156,37.7435302734,-81.8701171875,37.7435302734,-81.8811035156,3
dnwqb7,37.7655029297,-81.1889648438,37.7655029297,-81.1999511719,37.7709960938,-81.1889648438,37.7709960938,-81.1999511719,2
dr080z,39.4134521484,-78.0029296875,39.4134521484,-78.0139160156,39.4189453125,-78.0029296875,39.4189453125,-78.0139160156,2
dnz00b,37.96875,-80.1123046875,37.96875,-80.1232910156,37.9742431641,-80.1123046875,37.9742431641,-80.1232910156,2
dnvbh6,37.9797363281,-81.7163085938,37.9797363281,-81.7272949219,37.9852294922,-81.7163085938,37.9852294922,-81.7272949219,2
dntwzq,37.7819824219,-81.9360351562,37.7819824219,-81.9470214844,37.7874755859,-81.9360351562,37.7874755859,-81.9470214844,2
dnyyve,39.1717529297,-80.2551269531,39.1717529297,-80.2661132812,39.1772460938,-80.2551269531,39.1772460938,-80.2661132812,2
dnwzj0,37.79296875,-80.2770996094,37.79296875,-80.2880859375,37.7984619141,-80.2770996094,37.7984619141,-80.2880859375,2
dpp2db,39.462890625,-79.6728515625,39.462890625,-79.6838378906,39.4683837891,-79.6728515625,39.4683837891,-79.6838378906,2
dnwqfs,37.7709960938,-81.0900878906,37.7709960938,-81.1010742188,37.7764892578,-81.0900878906,37.7764892578,-81.1010742188,2
dnzmpg,38.8641357422,-79.453125,38.8641357422,-79.4641113281,38.8696289062,-79.453125,38.8696289062,-79.4641113281,2
dnv6e9,38.4136962891,-82.4523925781,38.4136962891,-82.4633789062,38.4191894531,-82.4523925781,38.4191894531,-82.4633789062,2
dnydjk,38.3422851562,-80.6176757812,38.3422851562,-80.6286621094,38.3477783203,-80.6176757812,38.3477783203,-80.6286621094,2
dnzjwc,38.9410400391,-79.8486328125,38.9410400391,-79.8596191406,38.9465332031,-79.8486328125,38.9465332031,-79.8596191406,2
dnyrmv,39.2706298828,-80.947265625,39.2706298828,-80.9582519531,39.2761230469,-80.947265625,39.2761230469,-80.9582519531,2
dnyz6r,39.2816162109,-80.3979492188,39.2816162109,-80.4089355469,39.287109375,-80.3979492188,39.287109375,-80.4089355469,2
dnwk6r,37.3480224609,-81.1010742188,37.3480224609,-81.1120605469,37.353515625,-81.1010742188,37.353515625,-81.1120605469,2
dnwrcm,37.9522705078,-81.1450195312,37.9522705078,-81.1560058594,37.9577636719,-81.1450195312,37.9577636719,-81.1560058594,2
dnyp2r,39.2816162109,-81.5405273438,39.2816162109,-81.5515136719,39.287109375,-81.5405273438,39.287109375,-81.5515136719,2
dqbxbp,39.3695068359,-78.0358886719,39.3695068359,-78.046875,39.375,-78.0358886719,39.375,-78.046875,2
dnyzmn,39.2761230469,-80.2770996094,39.2761230469,-80.2880859375,39.2816162109,-80.2770996094,39.2816162109,-80.2880859375,2
dqbp9m,39.3145751953,-78.6840820312,39.3145751953,-78.6950683594,39.3200683594,-78.6840820312,39.3200683594,-78.6950683594,2
dnypfs,39.3530273438,-81.4416503906,39.3530273438,-81.4526367188,39.3585205078,-81.4416503906,39.3585205078,-81.4526367188,2
dnyzys,39.3530273438,-80.2111816406,39.3530273438,-80.2221679688,39.3585205078,-80.2111816406,39.3585205078,-80.2221679688,2
dnv7p7,38.5125732422,-82.2875976562,38.5125732422,-82.2985839844,38.5180664062,-82.2875976562,38.5180664062,-82.2985839844,2
dnyzyw,39.3640136719,-80.2111816406,39.3640136719,-80.2221679688,39.3695068359,-80.2111816406,39.3695068359,-80.2221679688,2
dnv7r8,38.5400390625,-82.2766113281,38.5400390625,-82.2875976562,38.5455322266,-82.2766113281,38.5455322266,-82.2875976562,2
dpp1fd,39.6936035156,-80.0354003906,39.6936035156,-80.0463867188,39.6990966797,-80.0354003906,39.6990966797,-80.0463867188,2
dr090h,39.5727539062,-78.0358886719,39.5727539062,-78.046875,39.5782470703,-78.0358886719,39.5782470703,-78.046875,2
dnyxw6,39.2980957031,-80.5737304688,39.2980957031,-80.5847167969,39.3035888672,-80.5737304688,39.3035888672,-80.5847167969,2
dnyxwc,39.2926025391,-80.5517578125,39.2926025391,-80.5627441406,39.2980957031,-80.5517578125,39.2980957031,-80.5627441406,2
dnyv60,38.8916015625,-80.4089355469,38.8916015625,-80.419921875,38.8970947266,-80.4089355469,38.8970947266,-80.419921875,2
dnv8j9,37.9742431641,-82.0129394531,37.9742431641,-82.0239257812,37.9797363281,-82.0129394531,37.9797363281,-82.0239257812,2
dnvfwt,38.4356689453,-81.6174316406,38.4356689453,-81.6284179688,38.4411621094,-81.6174316406,38.4411621094,-81.6284179688,2
dnvfw8,38.408203125,-81.6174316406,38.408203125,-81.6284179688,38.4136962891,-81.6174316406,38.4136962891,-81.6284179688,2
dnwm6h,37.5073242188,-81.1120605469,37.5073242188,-81.123046875,37.5128173828,-81.1120605469,37.5128173828,-81.123046875,2
dny2d2,38.056640625,-81.1010742188,38.056640625,-81.1120605469,38.0621337891,-81.1010742188,38.0621337891,-81.1120605469,2
dny87j,38.0401611328,-80.7165527344,38.0401611328,-80.7275390625,38.0456542969,-80.7165527344,38.0456542969,-80.7275390625,2
dpp1e7,39.6551513672,-80.0024414062,39.6551513672,-80.0134277344,39.6606445312,-80.0024414062,39.6606445312,-80.0134277344,2
dpp08h,39.4848632812,-80.1452636719,39.4848632812,-80.15625,39.4903564453,-80.1452636719,39.4903564453,-80.15625,2
dr083g,39.4354248047,-77.958984375,39.4354248047,-77.9699707031,39.4409179688,-77.958984375,39.4409179688,-77.9699707031,2
dpp1hx,39.5892333984,-79.9475097656,39.5892333984,-79.9584960938,39.5947265625,-79.9475097656,39.5947265625,-79.9584960938,2
dny99n,38.2653808594,-80.8044433594,38.2653808594,-80.8154296875,38.2708740234,-80.8044433594,38.2708740234,-80.8154296875,2
dnyb4c,37.9742431641,-80.3759765625,37.9742431641,-80.3869628906,37.9797363281,-80.3759765625,37.9797363281,-80.3869628906,2
dnwpyf,37.9357910156,-81.2548828125,37.9357910156,-81.2658691406,37.9412841797,-81.2548828125,37.9412841797,-81.2658691406,2
dnyxkn,39.2761230469,-80.6726074219,39.2761230469,-80.68359375,39.2816162109,-80.6726074219,39.2816162109,-80.68359375,1
dnyy3n,39.1003417969,-80.4528808594,39.1003417969,-80.4638671875,39.1058349609,-80.4528808594,39.1058349609,-80.4638671875,1
dnyzkn,39.2761230469,-80.3210449219,39.2761230469,-80.33203125,39.2816162109,-80.3210449219,39.2816162109,-80.33203125,1
dnyzm0,39.2431640625,-80.2770996094,39.2431640625,-80.2880859375,39.2486572266,-80.2770996094,39.2486572266,-80.2880859375,1
dnyy0f,39.0344238281,-80.4638671875,39.0344238281,-80.4748535156,39.0399169922,-80.4638671875,39.0399169922,-80.4748535156,1
dnywnt,39.0509033203,-80.5627441406,39.0509033203,-80.5737304688,39.0563964844,-80.5627441406,39.0563964844,-80.5737304688,1
dnyy6h,39.0893554688,-80.4089355469,39.0893554688,-80.419921875,39.0948486328,-80.4089355469,39.0948486328,-80.419921875,1
dnyzxd,39.2980957031,-80.1672363281,39.2980957031,-80.1782226562,39.3035888672,-80.1672363281,39.3035888672,-80.1782226562,1
