,ST_CASE,VE_FORMS,HOUR,MINUTE,LATITUDE,LONGITUDE,YEAR,STATE,COUNTY,FATALS,LAT,LON,CRASH_TIME,VAR8C,VAR9C,VAR10C,VAR11C,VAR12C,VAR15C,VAR22C,VAR23C,VAR24C,VAR25C,VAR28C,PED_PEDAL,YOUNG_OLD,SZ_STATE,SZ_STATE_CZ_COUNTY,VAR1,VAR7,VAR8,VAR9,VAR10,VAR11,VAR12,VAR15,VAR16,VAR17,VAR20,VAR21,VAR22,VAR23,VAR24,VAR25,VAR26,VAR27,VAR28,STANAME,CNTYNAME,LCSTANAME
29238,540288,1,7:00pm-7:59pm,49,39.09269167,-80.02088333,2011,54,1,1,39.09269167,-80.02088333,7:49 PM,No,No,No,Yes,No,No,Yes,Not Collision with Motor Vehicle in Transport,Weekday,July,No,No,No,54,54001,1,1,2,2,2,1,2,2,2,2,2,2,1,1,1,7,19,1,2,WEST VIRGINIA,Barbour County,West Virginia
29239,540005,1,10:00pm-10:59pm,40,39.4045,-77.96589444,2011,54,3,1,39.4045,-77.96589444,10:40 PM,No,Yes,Yes,Yes,No,No,Yes,Not Collision with Motor Vehicle in Transport,Weekday,January,No,No,No,54,54003,1,1,2,1,1,1,2,2,2,2,2,2,1,1,1,1,22,1,2,WEST VIRGINIA,Berkeley County,West Virginia
29240,540006,2,9:00am-9:59am,13,39.49665556,-77.95884444,2011,54,3,1,39.49665556,-77.95884444,9:13 AM,Yes,Yes,No,No,No,No,Unknown,Sideswipe,Weekend,January,Yes,No,No,54,54003,1,2,1,1,2,2,2,2,2,2,2,2,3,5,2,1,9,2,1,WEST VIRGINIA,Berkeley County,West Virginia
29241,540039,1,2:00pm-2:59pm,44,39.54429444,-77.90911667,2011,54,3,1,39.54429444,-77.90911667,2:44 PM,No,Yes,No,Yes,No,No,No,Not Collision with Motor Vehicle in Transport,Weekend,February,No,No,No,54,54003,1,1,2,1,2,1,2,2,2,2,2,2,2,1,2,2,14,1,2,WEST VIRGINIA,Berkeley County,West Virginia
29242,540049,1,9:00pm-9:59pm,0,39.44328611,-77.98699722,2011,54,3,1,39.44328611,-77.98699722,9:00 PM,No,No,No,No,No,No,Unknown,Not Collision with Motor Vehicle in Transport,Weekend,March,No,Pedestrian,No,54,54003,1,1,2,2,2,2,2,2,1,2,2,2,3,1,2,3,21,1,2,WEST VIRGINIA,Berkeley County,West Virginia
29243,540051,1,1:00am-1:59am,30,39.48483333,-77.988125,2011,54,3,1,39.48483333,-77.988125,1:30 AM,No,No,No,Yes,No,No,No,Not Collision with Motor Vehicle in Transport,Weekend,March,No,No,No,54,54003,1,1,2,2,2,1,2,2,2,2,2,2,2,1,2,3,1,1,2,WEST VIRGINIA,Berkeley County,West Virginia
29244,540063,2,1:00pm-1:59pm,19,39.37469167,-78.03750833,2011,54,3,1,39.37469167,-78.03750833,1:19 PM,Yes,Yes,No,Yes,No,No,Unknown,Head-On,Weekday,April,No,No,Older Driver,54,54003,1,2,1,1,2,1,2,2,2,2,2,1,3,3,1,4,13,2,2,WEST VIRGINIA,Berkeley County,West Virginia
29245,540065,2,11:00am-11:59am,5,39.51128333,-77.93443611,2011,54,3,1,39.51128333,-77.93443611,11:05 AM,No,No,Yes,Yes,No,No,Unknown,Angle,Weekday,April,Yes,No,Older Driver,54,54003,1,2,2,2,1,1,2,2,2,2,2,1,3,4,1,4,11,2,1,WEST VIRGINIA,Berkeley County,West Virginia
29246,540068,1,10:00pm-10:59pm,50,39.37352222,-78.02584722,2011,54,3,1,39.37352222,-78.02584722,10:50 PM,No,No,No,Yes,No,Yes,Yes,Not Collision with Motor Vehicle in Transport,Weekday,April,No,No,No,54,54003,1,1,2,2,2,1,2,1,2,2,2,2,1,1,1,4,22,1,2,WEST VIRGINIA,Berkeley County,West Virginia
29247,540085,1,8:00pm-8:59pm,5,39.43556111,-77.91833056,2011,54,3,1,39.43556111,-77.91833056,8:05 PM,No,Yes,No,Yes,No,No,Yes,Not Collision with Motor Vehicle in Transport,Weekend,May,No,No,No,54,54003,1,1,2,1,2,1,2,2,2,2,2,2,1,1,2,5,20,1,2,WEST VIRGINIA,Berkeley County,West Virginia
29248,540087,1,3:00am-3:59am,11,39.36648056,-78.04689722,2011,54,3,1,39.36648056,-78.04689722,3:11 AM,No,No,Yes,Yes,No,No,Yes,Not Collision with Motor Vehicle in Transport,Weekend,May,No,No,No,54,54003,1,1,2,2,1,1,2,2,2,2,2,2,1,1,2,5,3,1,2,WEST VIRGINIA,Berkeley County,West Virginia
29249,540088,1,6:00pm-6:59pm,0,39.36509444,-78.01563333,2011,54,3,1,39.36509444,-78.01563333,6:00 PM,No,Yes,Yes,Yes,No,No,Yes,Not Collision with Motor Vehicle in Transport,Weekday,May,No,No,No,54,54003,1,1,2,1,1,1,2,2,2,2,2,2,1,1,1,5,18,1,2,WEST VIRGINIA,Berkeley County,West Virginia
29250,540161,1,3:00am-3:59am,6,39.38539722,-78.02945,2011,54,3,1,39.38539722,-78.02945,3:06 AM,No,Yes,Yes,Yes,No,No,Unknown,Not Collision with Motor Vehicle in Transport,Weekend,July,Yes,No,No,54,54003,1,1,2,1,1,1,2,2,2,2,2,2,3,1,2,7,3,1,1,WEST VIRGINIA,Berkeley County,West Virginia
29251,540192,1,10:00pm-10:59pm,12,39.47555833,-77.95718056,2011,54,3,1,39.47555833,-77.95718056,10:12 PM,No,Yes,No,Yes,No,No,Yes,Not Collision with Motor Vehicle in Transport,Weekend,August,No,No,No,54,54003,1,1,2,1,2,1,2,2,2,2,2,2,1,1,2,8,22,1,2,WEST VIRGINIA,Berkeley County,West Virginia
29252,540259,1,3:00pm-3:59pm,2,39.45248889,-77.96305556,2011,54,3,1,39.45248889,-77.96305556,3:02 PM,No,No,No,Yes,No,No,Unknown,Not Collision with Motor Vehicle in Transport,Weekday,September,No,No,No,54,54003,1,1,2,2,2,1,2,2,2,2,2,2,3,1,1,9,15,1,2,WEST VIRGINIA,Berkeley County,West Virginia
29253,540265,2,3:00pm-3:59pm,5,39.33705,-78.052175,2011,54,3,1,39.33705,-78.052175,3:05 PM,No,No,No,No,Yes,Yes,Unknown,Other,Weekend,October,No,No,Older Driver,54,54003,1,2,2,2,2,2,1,1,2,2,2,1,3,6,2,10,15,2,2,WEST VIRGINIA,Berkeley County,West Virginia
29254,540279,2,3:00pm-3:59pm,20,39.44075,-77.97450278,2011,54,3,1,39.44075,-77.97450278,3:20 PM,No,No,No,No,No,No,Unknown,Angle,Weekday,November,No,No,No,54,54003,1,2,2,2,2,2,2,2,2,2,2,2,3,4,1,11,15,2,2,WEST VIRGINIA,Berkeley County,West Virginia
29255,540283,2,7:00pm-7:59pm,46,39.489,-77.9729,2011,54,3,1,39.489,-77.9729,7:46 PM,No,No,Yes,No,No,No,Unknown,Sideswipe,Weekend,November,Yes,No,No,54,54003,1,2,2,2,1,2,2,2,2,2,2,2,3,5,2,11,19,2,1,WEST VIRGINIA,Berkeley County,West Virginia
29256,540314,1,2:00am-2:59am,30,39.41315833,-78.05806111,2011,54,3,1,39.41315833,-78.05806111,2:30 AM,No,No,Yes,Yes,No,No,No,Not Collision with Motor Vehicle in Transport,Weekday,December,No,No,Young Driver,54,54003,1,1,2,2,1,1,2,2,2,2,1,2,2,1,1,12,2,1,2,WEST VIRGINIA,Berkeley County,West Virginia
29257,540009,2,9:00am-9:59am,30,38.14549167,-81.65493889,2011,54,5,1,38.14549167,-81.65493889,9:30 AM,Yes,No,No,Yes,No,No,Unknown,Head-On,Weekday,January,No,No,No,54,54005,1,2,1,2,2,1,2,2,2,2,2,2,3,3,1,1,9,2,2,WEST VIRGINIA,Boone County,West Virginia
29258,540132,1,7:00pm-7:59pm,13,38.07559444,-81.81647222,2011,54,5,1,38.07559444,-81.81647222,7:13 PM,No,Yes,No,Yes,No,Yes,Yes,Not Collision with Motor Vehicle in Transport,Weekend,June,No,No,No,54,54005,1,1,2,1,2,1,2,1,2,2,2,2,1,1,2,6,19,1,2,WEST VIRGINIA,Boone County,West Virginia
29259,540220,2,12:00pm-12:59pm,15,38.03344722,-81.87372222,2011,54,5,1,38.03344722,-81.87372222,12:15 PM,Yes,No,Yes,No,Yes,No,Unknown,Angle,Weekday,September,No,No,No,54,54005,1,2,1,2,1,2,1,2,2,2,2,2,3,4,1,9,12,2,2,WEST VIRGINIA,Boone County,West Virginia
29260,540302,1,6:00pm-6:59pm,18,38.012925,-81.81866389,2011,54,5,1,38.012925,-81.81866389,6:18 PM,No,Yes,Yes,Yes,No,No,Yes,Not Collision with Motor Vehicle in Transport,Weekday,November,No,No,No,54,54005,1,1,2,1,1,1,2,2,2,2,2,2,1,1,1,11,18,1,2,WEST VIRGINIA,Boone County,West Virginia
29261,540317,2,7:00pm-7:59pm,3,38.069975,-81.84468333,2011,54,5,1,38.069975,-81.84468333,7:03 PM,Yes,No,No,No,Yes,No,Unknown,Not Collision with Motor Vehicle in Transport,Weekend,December,No,Pedestrian,Young Driver,54,54005,1,2,1,2,2,2,1,2,1,2,1,2,3,1,2,12,19,2,2,WEST VIRGINIA,Boone County,West Virginia
29262,540162,1,10:00pm-10:59pm,30,38.71946944,-80.52334722,2011,54,7,1,38.71946944,-80.52334722,10:30 PM,No,No,Yes,Yes,No,No,Yes,Not Collision with Motor Vehicle in Transport,Weekday,July,No,No,No,54,54007,1,1,2,2,1,1,2,2,2,2,2,2,1,1,1,7,22,1,2,WEST VIRGINIA,Braxton County,West Virginia
29263,540171,1,6:00pm-6:59pm,49,38.69780278,-80.66672778,2011,54,7,1,38.69780278,-80.66672778,6:49 PM,No,Yes,No,Yes,No,Yes,Yes,Not Collision with Motor Vehicle in Transport,Weekday,July,No,No,No,54,54007,1,1,2,1,2,1,2,1,2,2,2,2,1,1,1,7,18,1,2,WEST VIRGINIA,Braxton County,West Virginia
